# Attack curve: LINEAR startValue=15 scaleFactor=4
# Defense curve: LINEAR startValue=15 scaleFactor=4
# Base Price curve: EXPONENTIAL startValue=4 growthRate=1.75
# Variance: 0.1 | Levels: 5
ID,ATK,DEF,Thrash,BasePrice,RequiredTackle,Zone,HP
FISH_B_0,10,4,1,4,BAIT_0,CLOSE,30
FISH_B_1,14,8,1,8,BAIT_1,CLOSE,30
FISH_B_2,15,9,1,9,BAIT_1,CLOSE,30
FISH_B_3,18,12,1,16,BAIT_2,CLOSE,30
FISH_B_4,19,13,1,19,BAIT_2,CLOSE,30
FISH_B_5,22,16,1,32,BAIT_3,CLOSE,30
FISH_B_6,24,18,1,40,BAIT_3,CLOSE,30
FISH_B_7,26,20,1,64,BAIT_4,CLOSE,30
FISH_B_8,28,22,1,85,BAIT_4,CLOSE,30
FISH_B_9,30,24,1,128,BAIT_5,CLOSE,30
FISH_B_10,32,26,1,182,BAIT_5,CLOSE,30
FISH_0,15,15,1,4,LURE_0,CLOSE,35
FISH_1,19,19,1,7,LURE_1,CLOSE,35
FISH_2,20,20,1,8,LURE_1,CLOSE,35
FISH_3,23,23,1,13,LURE_2,CLOSE,35
FISH_4,24,24,1,14,LURE_2,CLOSE,35
FISH_5,27,27,1,22,LURE_3,CLOSE,35
FISH_6,29,29,1,26,LURE_3,CLOSE,35
FISH_7,31,31,1,38,LURE_4,CLOSE,35
FISH_8,33,33,1,47,LURE_4,CLOSE,35
