# ROD_ATTACK price curve: EXPONENTIAL startValue=20 growthRate=1.5 | ValuePerLevel=1 | Upgrades=5
# ROD_DEFENSE price curve: EXPONENTIAL startValue=15 growthRate=1.5 | ValuePerLevel=1 | Upgrades=5
# ROD_LINE_HP price curve: LINEAR startValue=50 scaleFactor=50 | ValuePerLevel=1 | Upgrades=3
# LURE price curve: POLYNOMIAL startValue=15 scaleFactor=20 growthRate=1.15 | Lures=5
# BAIT price curve: LINEAR startValue=1 scaleFactor=5 | Tiers=2
# ROD_HOLDER price curve: LINEAR startValue=40 scaleFactor=40 | Levels=1
# Rod price multiplier: 2
ID,Price,Stat,ValuePerLevel,Requirement
ROD_1_ATTACK,20 30 45 68 102,ROD_ATTACK,1,
ROD_1_DEFENSE,15 23 34 51 76,ROD_DEFENSE,1,
ROD_1_LINE_HP,50 100 150,ROD_LINE_HP,1,
ROD_2,100,ROD,1,ROD_1
ROD_2_ATTACK,40 60 90 135 203,ROD_ATTACK,1,ROD_2
ROD_2_DEFENSE,30 45 68 102 152,ROD_DEFENSE,1,ROD_2
ROD_2_LINE_HP,100 150 200,ROD_LINE_HP,1,ROD_2
LURE_0,15,LURE,1,
LURE_1,35,LURE,1,
LURE_2,60,LURE,1,
LURE_3,86,LURE,1,LURE_0
LURE_4,114,LURE,1,LURE_1
BAIT_0,1,BAIT,1
BAIT_1,6,BAIT,1
ROD_HOLDER,40,ROD_SLOT,1,ROD_2
