ID, Name, Description, Category, Subcategory
ROD_1_ATTACK, Reel, Reel in fish faster when they're resting., rods, lil guppy
ROD_1_DEFENSE, Drag, Prevents fish from pulling so hard., rods, lil guppy
ROD_2, Second Rod, A second fishing rod with its own reel and drag., rods, maple scout
ROD_2_ATTACK, Reel , Reel in fish faster on the second rod., rods, maple scout
ROD_2_DEFENSE, Drag , Prevents fish from pulling so hard on the second rod., rods, maple scout
LURE_1, Floater, Catch more fish, lures,
LURE_2, Spinner, Attract rarer fish, lures,
LURE_3, Deep Diver, Reach fish that won't bite near the surface, lures,
COOLER, Big Cooler, Fits one more fish in your cooler., misc,
BAIT_0, Worm Bait, Replenish your worm bait,  bait,
